ID,ProductID,ClientID,Discount,UnitPrice,Quantity,StoreID,Date
80260d682079b6090c8285b398c50d97,002552c0663708129c0019cc97552d7d3,14001,"0,08","249,2",1,4,10/12/2018
3275736da1234f55d52bdf09d86b93bc,001b237c0e9bb435f2e54071129237e93,14001,"0,1","162,4",1,4,25/04/2019
f3513eec8f1434b5b7e04ddf3598df40,00066f42aeeb9f3007548bb9d3f33c381,14001,"0,1","194,6",1,4,17/07/2019
7180475b60fe6bbbde424d39704a1177,001b72dfd63e9833e8c02742adf472e33,14002,"0,1","201,6",2,1,10/04/2018
76600853a200fe87e141adae6b35674c,00210e41887c2a8ef9f791ebc780cc363,14002,"0,1",406,1,1,21/01/2019
7ab64f42a8f9ab290e920eed320d7e60,002552c0663708129c0019cc97552d7d3,14002,"0,1","249,2",1,1,28/03/2019
b35a771164a9defa3b4767f1b66918b1,002959d7a0b0990fe2d69988affcbc803,14002,"0,08","261,8",1,1,14/08/2019
28618be7d166aad45ab14e9bca43cc19,00126f27c813603687e6ce486d909d013,14002,"0,08","114,8",1,1,30/12/2019
b8b9625b11ffbc12df779c20935997c2,001795ec6f1b187d37335e1c4704762e3,14003,"0,1","148,4",1,2,08/04/2018
42d0d6be3900c1f50190096f216695b1,001c5d71ac6ad696d22315953758fa043,14003,"0,1","226,8",2,2,19/06/2018
1df7ded3518147b95eababb6620f007c,002c6dab60557c48cfd6c2222ef7fd763,14004,"0,08","148,4",1,2,22/06/2018
3016d3537e78284991256efc878941ec,0021a87d4997a48b6cef1665602be0f53,14004,"0,1",NaN,1,2,27/10/2018
7712472a07a10232dd2e57a0c2532cd3,002af88741ba70c7b5cf4e4a0ad7ef853,14004,"0,08","134,4",1,2,23/06/2019
d53709cd2507666542fcf8f6120b99f0,002552c0663708129c0019cc97552d7d3,14004,"0,08","249,2",1,2,01/08/2019
7501e0d79e115a1491674e6154b47bd4,001b72dfd63e9833e8c02742adf472e33,14004,"0,08","201,6",1,2,12/12/2019
e2cd740333fe4585ead5c50c61edb6a5,002552c0663708129c0019cc97552d7d1,14005,"0,1","249,2",1,1,15/09/2018
2a2169e99fd0582e2322bce30ab5207b,003128f981470c3e5a2e7445e4a771cd3,14006,"0,08",161,1,2,11/12/2018
0f740a04b4f5fce0611344905b62332c,003128f981470c3e5a2e7445e4a771cd3,14006,"0,1",161,1,2,30/01/2019
21f8398df3e0b6c3c2ba3efbebf46b3f,003128f981470c3e5a2e7445e4a771cd3,14007,"0,08",161,1,7,07/08/2018
30ef7c120f099b71e0e0eae30f95c954,002ec297b1b00fb9dde7ee6ac24b67713,14007,"0,08","218,4",1,7,04/12/2018
e1e7c43f425909256a366901f953256a,000b8f95fcb9e0096488278317764d193,14008,"0,1","201,6",2,7,25/04/2018
418f45a2544c9ab8f50c4d6843642a98,002552c0663708129c0019cc97552d7d3,14008,"0,08","249,2",1,7,04/06/2019
66d6e2c96b28f2e7c260b7e009d421df,0011c512eb256aa0dbbb544d8dffcf6e3,14008,"0,08","204,4",1,7,20/06/2019
f7e0f7c5ef9b8b1ea79d697dd2259897,001c5d71ac6ad696d22315953758fa043,14009,"0,1","226,8",1,2,17/07/2019
3b85cb67e49cb00b5c0a3d83592a1fc0,002959d7a0b0990fe2d69988affcbc803,14010,"0,1","261,8",1,2,10/05/2018
